iteracion,error
1,25.423303307763675
2,8.689902257600153
3,3.9262649777678575
4,1.8010708808996867
5,0.8206657155341617
6,0.3792048707943607
7,0.1841151264092602
8,0.08653595030923356
9,0.04262129742699727
10,0.02028224561416181
11,0.009939132080994284
12,0.004805240157608637
13,0.0023575019409491915
14,0.0011709272534261572
15,0.0006059522243333504
16,0.0003213121775473837
17,0.0001716953549930622
18,9.191772771544038e-05
